Sector,Sector_Total_Emission,Top_Contributor_Country,Top_Country_Contribution
Power Industry,90175.29122906178,China,51783.6015625
Industrial Combustion,40729.570292061195,China,22992.16015625
Transport,33120.13030040823,China,8622.080078125
Processes,20712.15951017663,China,11632.5595703125
Buildings,16378.980017103255,China,5189.0400390625
Fuel Exploitation,14662.150045836344,China,5708.080078125
Agriculture,930.149998312816,India,244.63999938964844
Waste,73.26000097766519,China,29.1200008392334
